ID,Ref,year,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Nickname(n),-HOMO_n(eV),-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),Nickname(p),-HOMO_p(eV),-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,p/n ratio (p),p/n ratio (n),Solvent,Additive,TA (oC),thick (nm),,Journal,DOI
433,199,2018,12.08,11.73,18.45,0.692,0.919,m-MeIC,5.54,3.9,1.64,O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,1468.05,J71,5.4,3.24,2.16,CCC[Si](CCC)(C1=CC=C(C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCCCCCC)N=C57)S4)S2)=C8C(SC(C)=C8)=C3C9=CC=C([Si](CCC)(CCC)CCC)S9)S1)CCC,47,23.5,2,1,1,CF,NA,150,,,J. Mater. Chem. A,10.1039/c7ta11339k
434,199,2018,10.93,10.68,18.16,0.697,0.843,m-MeIC,5.54,3.9,1.64,O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,1468.05,PBDB-T,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,50.384,18.8,2.68,1,1,CF,NA,150,,,J. Mater. Chem. A,10.1039/c7ta11339k
435,199,2018,8.34,8.12,16.52,0.617,0.796,m-MeIC,5.54,3.9,1.64,O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,1468.05,PTB7-Th,5.2,3.6,1.6,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1,CF,CN,NA,,,J. Mater. Chem. A,10.1039/c7ta11339k
436,200,2018,9.36,9.11,17.31,0.598,0.88,IDT2Se,5.41,3.87,1.54,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)[Se]4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)[Se]%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1573.83,PBDB-T,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,CB,NA,100,110,,J. Mater. Chem. A,10.1039/c8ta00783g
437,200,2018,11.19,11.03,21.35,0.654,0.79,IDT2Se-4F,5.51,4,1.51,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)[Se]4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)/C#N)[Se]%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1645.79,PBDB-T,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,CB,NA,100,110,,J. Mater. Chem. A,10.1039/c8ta00783g
438,201,2018,4.5,4.3,8.7,0.469,1.05,D5T6F-M,6.09,4.16,1.93,FC1=C(/C=C(C#N)/C#N)SC(C2=C(F)C(CCCCCCCC)=C(C(S3)=C(F)C(F)=C3C4=C(CCCCCCCC)C(F)=C(C5=C(CCCCCCCC)C(F)=C(/C=C(C#N)/C#N)S5)S4)S2)=C1CCCCCCCC,1121.54,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1.5,CB,NA,NA,,,J. Mater. Chem. A,10.1039/c8ta02781a
439,201,2018,1.8,1.7,4.4,0.345,1.11,D7T8F-M,5.74,3.93,1.81,FC1=C(/C=C(C#N)/C#N)SC(C2=C(F)C(CCCCCCCC)=C(C3=C(F)C(CCCCCCCC)=C(C4=C(F)C(F)=C(C(S5)=C(CCCCCCCC)C(F)=C5C6=C(CCCCCCCC)C(F)=C(C7=C(CCCCCCCC)C(F)=C(/C=C(C#N)/C#N)S7)S6)S4)S3)S2)=C1CCCCCCCC,1546.19,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,2.33,CB,NA,NA,,,J. Mater. Chem. A,10.1039/c8ta02781a
440,202,2018,11.49,11.49,17.81,0.7077,0.91,HF-PCIC,5.53,3.83,1.7,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=CC(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C=C6F,1395.8,PBDB-TF,5.48,3.64,1.84,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1.2,CF,DIO,110,,,J. Mater. Chem. A,10.1039/c8ta03753a
441,202,2018,8.36,8.36,12.62,0.7099,0.93,HFO-PCIC,5.5,3.81,1.69,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(OC)C(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(OC)=C6F,1455.85,PBDB-TF,5.48,3.64,1.84,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1.2,CB,CN,110,,,J. Mater. Chem. A,10.1039/c8ta03753a
442,202,2018,9.09,9.09,13.76,0.7337,0.91,OF-PCIC,5.66,3.86,1.8,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(F)C(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(F)=C6F,1431.78,PBDB-TF,5.48,3.64,1.84,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1.2,CB,CN,110,,,J. Mater. Chem. A,10.1039/c8ta03753a
443,203,2015,2.73,2.47,7.83,0.45,0.77,Me-PDI4,5.96,3.82,2.14,O=C(N(C(CCCCCCCCCCCC)CCCCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC=C(C(C7=CC=C(C8=C(C9=CC=C(C%10=O)C%11C9=C%12C=CC%11C(N%10C(CCCCCCCC)CCCCCCCCCCCC)=O)C(C%12=CC=C%13C(N(C(CCCCCCCC)CCCCCCCCCCCC)C%14=O)=O)=C%13C%14=C8)C=C7)(C%15=CC=C(C%16=C(C%17=C%18C=CC%19C%17C(C(N(C(CCCCCCCC)CCCCCCCCCCCC)C%19=O)=O)=C%16)C%20=CC=C%21C%22=C%20C%18=CC=C%22C(N(C(CCCCCCCCCCCC)CCCCCCCC)C%21=O)=O)C=C%15)C%23=CC=C(C%24=C(C%25=C%26C=CC%27C%25C(C(N(C(CCCCCCCC)CCCCCCCCCCCC)C%27=O)=O)=C%24)C%28=CC=C%29C%30=C%28C%26=CC=C%30C(N(C(CCCCCCCCCCCC)CCCCCCCC)C%29=O)=O)C=C%23)C=C6)C=C%31C%32=C5C4=CC=C%32C(N(C(CCCCCCCC)CCCCCCCCCCCC)C%31=O)=O,4238.39,PBDTTT-C-T,5.11,3.25,1.86,O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC,56,20,2.8,1,1,DCB,DIO,180,,,J. Mater. Chem. C,10.1039/c5tc00865d
444,204,2017,5.23,5.23,11.54,0.473,0.96,PDI2,6.05,3.8,2.25,O=C(N(CC(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4N5CCCCCC)=C4C6=C5C=C(C(N7CC(CC)CC)=O)C8=C6C3=C(C9=CC%10=C%11C%12=C9C%13=CC=C(C(N%14CC(CC)CC)=O)C%15=C%13C(C%12=C%16C=C%11C(N(CC(CC)CC)C%10=O)=O)=C(N%16CCCCCC)C=C%15C%14=O)C=C8C7=O,1309.66,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1.5,CB,NA,NA,,,J. Mater. Chem. C,10.1039/c6tc05107c
445,204,2017,1.22,1.22,4.33,0.291,0.97,PDI2AC,5.84,3.8,2.04,O=C(N(CC(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4N5CCCCCC)=C4C6=C5C=C(C(N7CC(CC)CC)=O)C8=C6C3=C(C#CC9=CC%10=C%11C%12=C9C%13=CC=C(C(N%14CC(CC)CC)=O)C%15=C%13C(C%12=C%16C=C%11C(N(CC(CC)CC)C%10=O)=O)=C(N%16CCCCCC)C=C%15C%14=O)C=C8C7=O,1333.68,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,2.33,CB,NA,NA,,,J. Mater. Chem. C,10.1039/c6tc05107c
446,204,2017,1.34,1.34,4.41,0.322,0.95,PDI2AC2,5.98,3.8,2.18,O=C(N(CC(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4N5CCCCCC)=C4C6=C5C=C(C(N7CC(CC)CC)=O)C8=C6C3=C(C#CC#CC9=CC%10=C%11C%12=C9C%13=CC=C(C(N%14CC(CC)CC)=O)C%15=C%13C(C%12=C%16C=C%11C(N(CC(CC)CC)C%10=O)=O)=C(N%16CCCCCC)C=C%15C%14=O)C=C8C7=O,1357.71,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,2.33,CB,NA,NA,,,J. Mater. Chem. C,10.1039/c6tc05107c
447,205,2017,3.97,3.76,9.29,0.52,0.826,IDT-2BM,5.4,3.77,1.63,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(C7=CC=C(/C=C(C#N)/C#N)C8=NSN=C87)=C6)(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)C=C4C%11=C2C=C(C%12=CC=C(/C=C(C#N)/C#N)C%13=NSN=C%13%12)S%11,1327.84,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1.5,CB,DPE,NA,,,J. Mater. Chem. C,10.1039/c7tc00706j
448,205,2017,6.57,6.31,14.07,0.62,0.767,PhITBD,5.5,3.78,1.72,N#C/C(C#N)=C/C(C1=NSN=C12)=CC=C2C3=CC4=C(S3)C(C=CC(C5=CC=C(S5)C6=CC=C(C7=NSN=C76)/C=C(C#N)/C#N)=C8)=C8C4(C9=CC=C(C=C9)CCCCCC)C%10=CC=C(C=C%10)CCCCCC,995.31,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1.5,CB,DPE,NA,,,J. Mater. Chem. C,10.1039/c7tc00706j
449,206,2017,7.14,7.02,14.11,0.6341,0.78,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,P1,5.39,3.7,1.69,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C(SC(C(OCC(CC)CCCC)=O)=C8)C8=C(C9=CC=C(C)S9)C%10=NN(CC(CC)CCCC)N=C7%10)S6,263.9,91,2.9,1,1,DCB,DPE,NA,,,J. Mater. Chem. C,10.1039/c7tc02098h
450,206,2017,4.17,3.96,9.34,0.5292,0.8,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,P2,5.49,3.81,1.68,CC(SC1=C2C3=CC(F)=C(CC(CCCC)CCCCCC)S3)=CC1=C(C4=CC(F)=C(CC(CCCC)CCCCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C(SC(C(OCC(CC)CCCC)=O)=C8)C8=C(C9=CC=C(C)S9)C%10=NN(CC(CC)CCCC)N=C7%10)S6,86,43,2,1,1,DCB,DPE,NA,,,J. Mater. Chem. C,10.1039/c7tc02098h
451,206,2017,3.66,3.6,7.58,0.5685,0.83,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,P3,5.47,3.78,1.69,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C(SC(C(OCC(CCCC)CCCCCC)=O)=C8)C8=C(C9=CC=C(C)S9)C%10=NN(CC(CCCC)CCCCCC)N=C7%10)S6,66.3,39,1.7,1,1,DCB,DPE,NA,,,J. Mater. Chem. C,10.1039/c7tc02098h
452,207,2017,2.84,2.84,10.51,0.409,0.661,di-PDI,6.11,4.01,2.1,O=C(N(C(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4)=C4C5=CC=C(C(N6C(CC)CC)=O)C7=C5C3=CC(C(C=C8C(N(C(CCCCCCC)CCCCCCC)C9=O)=O)=C%10C%11=C8C9=CC=C%11C%12=CC=C(C(N(C(CCCCCCC)CCCCCCC)C%13=O)=O)C%14=C%13C=CC%10=C%12%14)=C7C6=O,1339.77,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1,CB,CN,160,80,,J. Mater. Chem. C,10.1039/c7tc03171h
453,207,2017,4.55,4.55,12.61,0.481,0.751,tri-PDI,6.09,3.99,2.1,O=C(N(C(CC)CC)C1=O)C2=CC=C3C(C2=C1C=C4)=C4C5=CC=C(C(N6C(CC)CC)=O)C7=C5C3=CC(C(C=C8C(N(C(CCCCCCC)CCCCCCC)C9=O)=O)=C%10C%11=C8C9=CC=C%11C%12=C(C%13=CC%14=C%15C(C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CC)CC)C%17=O)=O)=CC=C(C%19=O)C%15=C%13C(N%19C(CC)CC)=O)C=C(C(N(C(CCCCCCC)CCCCCCC)C%20=O)=O)C%21=C%20C=CC%10=C%12%21)=C7C6=O,1868.38,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1,CB,CN,160,80,,J. Mater. Chem. C,10.1039/c7tc03171h
454,208,2018,8.03,7.92,17.7,0.56,0.81,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PBDTTz-BP,5.25,3.49,1.76,CC1=CC(C(S1)=C2C3=CC=C(C4=CC=C(OCC(CCCCCC)CCCCCCC)C=C4)C=C3)=C(C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCC)CCCCCC)N=C79)S6)S5)C%10=CC=C(C%11=CC=C(OCC(CCCCCC)CCCCCCC)C=C%11)C=C%10,70,35,2,1,1,CB,NA,NA,100,,J. Mater. Chem. C,10.1039/c7tc04750a
455,208,2018,6.61,6.45,18,0.49,0.75,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PBDTTz-N,5.23,3.52,1.71,CC1=CC(C(S1)=C2C3=CC=C4C=C(OCC(CCCCCC)CCCCCCC)C=CC4=C3)=C(C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCC)CCCCCC)N=C79)S6)S5)C%10=CC%11=CC=C(OCC(CCCCCC)CCCCCCC)C=C%11C=C%10,74,37,2,1,1,CB,NA,NA,100,,J. Mater. Chem. C,10.1039/c7tc04750a
456,209,2018,4.53,4.53,9.18,0.5541,0.89,S-SubPc-PDI,5.71,3.83,1.88,Cl[B@]12N3C4=C5C(C=C(C#CC(C=C6C(N(C(CCCCCC)CCCCCC)C7=O)=O)=C8C9=C6C7=CC=C9C%10=CC=C(C%11=O)C%12C%10=C8C=CC%12C(N%11C(CCCCCC)CCCCCC)=O)C=C5)=C3N=C%13C%14=C(C=C(C#CC(C=C%15C(N(C(CCCCCC)CCCCCC)C%16=O)=O)=C%17C%18=C%15C%16=CC=C%18C%19=CC=C(C%20=O)C%21C%19=C%17C=CC%21C(N%20C(CCCCCC)CCCCCC)=O)C=C%14)C(N%132)=NC%22=[N]1C(C%23=C%22C=CC(C#CC(C=C%24C(N(C(CCCCCC)CCCCCC)C%25=O)=O)=C%26C%27=C%24C%25=CC=C%27C%28=CC=C(C%29=O)C%30C%28=C%26C=CC%30C(N%29C(CCCCCC)CCCCCC)=O)=C%23)=N4,2767.9,PBDB-T,5.37,3.02,2.35,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,DCB,NA,160,100,,J. Mater. Chem. C,10.1039/c8tc01988f
457,209,2018,1.78,1.78,5.18,0.4645,0.74,E-SubPc-PDI,5.69,3.98,1.71,Cl[B@]12N3C4=C5C(C=C(C(C=C6C(N(C(CCCCCC)CCCCCC)C7=O)=O)=C8C9=C6C7=CC=C9C%10=CC=C(C%11=O)C%12C%10=C8C=CC%12C(N%11C(CCCCCC)CCCCCC)=O)C=C5)=C3N=C%13C%14=C(C=C(C(C=C%15C(N(C(CCCCCC)CCCCCC)C%16=O)=O)=C%17C%18=C%15C%16=CC=C%18C%19=CC=C(C%20=O)C%21C%19=C%17C=CC%21C(N%20C(CCCCCC)CCCCCC)=O)C=C%14)C(N%132)=NC%22=[N]1C(C%23=C%22C=CC(C(C=C%24C(N(C(CCCCCC)CCCCCC)C%25=O)=O)=C%26C%27=C%24C%25=CC=C%27C%28=CC=C(C%29=O)C%30C%28=C%26C=CC%30C(N%29C(CCCCCC)CCCCCC)=O)=C%23)=N4,2695.83,PBDB-T,5.37,3.02,2.35,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,DCB,NA,160,100,,J. Mater. Chem. C,10.1039/c8tc01988f
458,210,2018,6.63,6.22,15.11,0.48,0.92,HPB-PDI6,5.69,3.93,1.76,O=C(N(C(CC)CC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C(C=C6)=CC=C6C7=C(C8=CC=C(C9=C(C%10=CC=C(C%11=O)C%12C%10=C%13C=CC%12C(N%11C(CC)CC)=O)C(C%13=CC=C%14C(N(C(CC)CC)C%15=O)=O)=C%14C%15=C9)C=C8)C(C%16=CC=C(C%17=C(C%18=C%19C=CC%20C%18C(C(N(C(CC)CC)C%20=O)=O)=C%17)C%21=CC=C%22C%23=C%21C%19=CC=C%23C(N(C(CC)CC)C%22=O)=O)C=C%16)=C(C%24=CC=C(C%25=C(C%26=C%27C=CC%28C%26C(C(N(C(CC)CC)C%28=O)=O)=C%25)C%29=CC=C%30C%31=C%29C%27=CC=C%31C(N(C(CC)CC)C%30=O)=O)C=C%24)C(C%32=CC=C(C%33=C(C%34=CC=C(C%35=O)C%36C%34=C%37C=CC%36C(N%35C(CC)CC)=O)C(C%37=CC=C%38C(N(C(CC)CC)C%39=O)=O)=C%38C%39=C%33)C=C%32)=C7C%40=CC=C(C%41=C(C%42=C%43C=CC%44C%42C(C(N(C(CC)CC)C%44=O)=O)=C%41)C%45=CC=C%46C%47=C%45C%43=CC=C%47C(N(C(CC)CC)C%46=O)=O)C=C%40)C=C%48C%49=C5C4=CC=C%49C(N(C(CC)CC)C%48=O)=O,3718.45,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7,1,1,DCB,DIO,140,100,,J. Mater. Chem. C,10.1039/c8tc03081b
